id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
152,and,then,"The Dow Jones Industrial Average, which had jumped 41.60 points on Tuesday, drifted on either side of its previous close",finished with a gain of just 0.82 at 2645.90.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
153,and,then,Freeport-McMoRan Energy Partners will be liquidated,shares of the new company distributed to the partnership's unitholders.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
154,and,as a result,"The Avon, Conn., company's stock hit a high in 1983 after it unveiled its Adam home computer, but the product was plagued with glitches",the company's fortunes plunged.,Expansion.Conjunction,Contingency.Cause.Result
155,and,as a result,"But as the craze died, Coleco failed to come up with another winner",filed for bankruptcy-law protection in July 1988.,Expansion.Conjunction,Contingency.Cause.Result
156,and,afterwards,"Gunmen in Lebanon assassinated a Saudi Arabian Embassy employee,",the pro-Iranian Islamic Jihad took responsibility for the slaying to avenge the beheading of 16 terrorists by Riyadh's government in September.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
157,and,so,Mexico's President Salinas said the country's recession had ended,the economy was growing again.,Expansion.Conjunction,Contingency.Cause.Result
158,and,as a result,USX was cited by OSHA for several health and safety violations at two Pennsylvania plants,may face a record fine of $7.3 million.,Expansion.Conjunction,Contingency.Cause.Result
159,then,and,"New rules force thrifts to write down their junk to market value,",sell the bonds over five years.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
160,and,then,"Some think Columbia's thrift, which now is seeking a new chief operating officer, might be capitalized at, say $300 million,",shopped to a commercial bank that wants a California presence.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
161,and,then,You sell the good bank as an ongoing operation,"use some of the proceeds to capitalize the bad bank,"" says thrift specialist Lewis Ranieri of Ranieri Associates in New York.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
162,and,now,Sandoz Ltd. has licensed certain manufacturing and marketing rights for Interleukin-3 from Genetics Institute,is conducting preclinical studies with it.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
163,and,now,Lentjes had 1988 sales of 800 million marks ($434.4 million),has a current order backlog of 2.5 billion marks.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
164,and,as a result,"Instead of 50/50 it became, on paper only, two-thirds Mariotta, one-third Neuberger,",they were in the program and off to the races.,Expansion.Conjunction,Contingency.Cause.Result
165,and,then,The company plugged itself right into Carter campaign rhetoric about rebuilding the South Bronx,kept using the minority -- South Bronx angle through the Reagan '80s.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
166,and,thereby,"Oy Waertsilae is to contribute 200 million markkaa, most of it as subordinated debt,",take a minority stake in the new company.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
167,and,yet,"At St. Louis, the water level of the Mississippi River is already 6.5 feet below normal","it could drop an additional 2.5 feet when the flow of the Missouri River is slowed, an Army Corps spokesman said.",Expansion.Conjunction,Comparison.Contrast
168,and,then,The announced sale of the reserves was followed by news that investor Carl Icahn had increased his stake in USX to 13.1%,threatened a takeover or other business combination.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
169,without,but,A line-item veto is a procedure that would allow a president to veto part of a big congressional spending bill,having to scuttle the entire measure.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
170,and,in contrast,The two professors represent different ends of the political spectrum -- Mr. Kurland is a conservative,Mr. Tribe is a liberal.,Expansion.Conjunction,Comparison.Contrast
171,and,yet,"Moreover, they said the first appropriations bill passed 200 years ago covered many different items,",there was no discussion of a line-item veto.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
172,and,yet,"They also said that more than a dozen presidents have called for line-item veto authority since the Civil War,","""all have shared the view that such lawmaking power is beyond the reach"" of the president.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
173,and,therefore,"The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention, such as when several of his top aides were uncovered as KGB plants",ejected from France and when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds.,Expansion.Conjunction,Contingency.Cause.Result
174,and,as a result,"In China, a great number of workers are engaged in pulling out the male organs of rice plants using tweezers,",one-third of rice produced in that country is grown from hybrid seeds.,Expansion.Conjunction,Contingency.Cause.Result
175,and,as a result,The sterilizing gene is expressed just before the pollen is about to develop,it deactivates the anthers of every flower in the plant.,Expansion.Conjunction,Contingency.Cause.Result
176,and,in contrast,The laws of heredity dictate that half of the plants springing from these greenhouse-produced seeds will be male sterile and herbicide resistant,half will be male fertile and herbicide susceptible.,Expansion.Conjunction,Comparison.Contrast
177,and,therefore,"He told reporters in Wellington Tuesday that the government hadn't guaranteed the loans to DFC New Zealand Ltd., an investment bank 80%-owned by the National Provident Fund,",wouldn't bail it out.,Expansion.Conjunction,Contingency.Cause.Result
178,and,so,"""I think it would be irresponsible","I am not about to be blackmailed by Japanese banks or any other international interests.""",Expansion.Conjunction,Contingency.Cause.Result
179,and,thus,"Both sides are jealously guarding their turf,",relations have been at a flashpoint for months.,Expansion.Conjunction,Contingency.Cause.Result
180,and,then,"Crouched at shortstop, Bert Campaneris, once Oakland's master thief, effortlessly scoops up a groundball",flips it to second.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
181,and,specifically,The league's promoters hope retirees and tourists will join die-hard fans like Mr. de Castro,pack the stands to see the seniors.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
182,and,as a result,"Worse, says baseball author Lawrence Ritter, ""Someone will get a heart attack","that will be the end of the whole story.""",Expansion.Conjunction,Contingency.Cause.Result
183,and,because of that,"Ford, which already has an unwelcome 13.2% holding, is prepared to bid for the entire company",had lobbied the government to lift the takeover restrictions early.,Expansion.Conjunction,Contingency.Cause.Result
184,and,as a result,"In a statement, Jaguar's board said they ""were not consulted about the (Ridley decision) in advance","were surprised at the action taken.""",Expansion.Conjunction,Contingency.Cause.Result
185,and,as a result,But other sectors failed to attract investor interest,"remained sluggish, making overall trading appear mixed.",Expansion.Conjunction,Contingency.Cause.Result
186,and,specifically,The state agency's figures confirm previous estimates,"leave the index at 178.9, up from 178.5 in August and 173.1 a year earlier.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
187,then,but,"The Soviets insisted that aircraft be brought into the talks,","argued for exempting some 4,000 Russian planes because they are ""solely defensive.""",Temporal.Asynchronous.Precedence,Comparison.Concession.Arg2-as-denier
188,and,so,"Mr. Agnelli and the Aga Khan also have some business ties,",a spokesman for the Agnelli company didn't rule out that the current agreement could lead to further collaboration.,Expansion.Conjunction,Contingency.Cause.Result
189,and,because,President Bush in June vetoed a measure passed by Congress,said he wouldn't accept any minimum-wage rise that went beyond limits he set early in this year's debate on the issue.,Expansion.Conjunction,Contingency.Cause.Reason
190,with,then,"Armstrong expects to close the sale of the color unit in late November and the carpet sale in December,",the gains to be applied to fourth quarter or first-quarter results.,Expansion.Level-of-detail.Arg2-as-detail,Temporal.Asynchronous.Precedence
